Row Labels,Average of Sale Amount,Average of Assessed Value,,Sum of Sale Amount,Column Labels,,,,,,
***Unknown***,"$282,450.00","$66,540.00",,Row Labels,Condo,Four Family,Not Applicable,Single Family,Three Family,Two Family,Grand Total
Sharon,"$504,268.16","$348,821.25",,Seymour,"$93,683,526.00","$2,574,900.00","$358,418,398.00","$601,040,682.34","$6,272,000.00","$30,184,239.00","$1,092,173,745.34"
Shelton,"$391,279.86","$230,426.62",,Sharon,"$9,908,302.00","$300,000.00","$242,452,761.00","$464,367,361.00",,"$1,553,700.00","$718,582,124.00"
Sherman,"$482,977.38","$309,272.68",,Shelton,"$703,372,256.93","$265,000.00","$2,081,589,746.00","$1,778,901,130.43","$14,240,619.00","$37,168,475.00","$4,615,537,227.36"
Simsbury,"$382,326.51","$264,362.96",,Sherman,,,"$212,138,139.00","$493,024,788.00","$950,000.00",,"$706,112,927.00"
Somers,"$293,148.02","$171,456.94",,Simsbury,"$315,915,005.00","$1,319,000.00","$1,217,737,213.00","$1,465,788,638.70","$828,500.00","$4,262,650.00","$3,005,851,006.70"
South Windsor,"$321,205.20","$187,408.75",,Somers,"$43,018,240.00","$431,109.00","$209,552,512.00","$514,718,234.72","$616,300.00","$3,815,500.00","$772,151,895.72"
Southbury,"$300,499.36","$197,148.06",,South Windsor,"$266,084,464.00","$678,000.00","$1,308,967,953.00","$1,309,177,184.00",,"$3,690,750.00","$2,888,598,351.00"
Southington,"$275,515.98","$173,334.18",,Southbury,"$530,134,018.00","$754,000.00","$1,060,643,272.00","$988,883,512.00","$607,750.00","$30,917,883.00","$2,611,940,435.00"
Sprague,"$179,871.79","$131,729.13",,Southington,"$340,816,516.00","$2,066,000.00","$1,189,067,702.00","$1,934,907,152.00","$5,123,244.00","$62,062,874.00","$3,534,043,488.00"
Stafford,"$146,535.22","$369,472.17",,Sprague,"$1,363,300.00","$1,167,500.00","$53,255,445.00","$78,787,417.00","$1,304,000.00","$12,516,563.00","$148,394,225.00"
Stamford,"$914,814.85","$503,978.56",,Stafford,"$31,865,272.00","$2,178,900.00","$255,757,671.00","$337,081,965.00","$4,121,452.00","$11,551,666.00","$642,556,926.00"
Sterling,"$209,551.51","$104,184.81",,Stamford,"$5,040,878,568.00","$48,771,050.00","$19,615,957,711.00","$6,522,579,654.00","$136,076,152.00","$472,208,338.00","$31,836,471,473.00"
Stonington,"$405,289.17","$291,399.63",,Sterling,"$7,806,151.00","$432,000.00","$151,323,940.00","$151,287,660.00","$824,800.00","$5,376,888.00","$317,051,439.00"
Stratford,"$292,657.83","$504,318.60",,Stonington,"$216,951,624.00","$3,417,475.00","$1,083,429,809.00","$1,384,376,533.00","$23,899,883.00","$56,454,968.00","$2,768,530,292.00"
Suffield,"$332,700.04","$270,564.61",,Stratford,"$824,165,035.00","$1,993,800.00","$1,926,305,821.00","$2,343,199,034.00","$34,046,382.00","$110,913,736.00","$5,240,623,808.00"
Thomaston,"$186,260.95","$116,571.87",,Suffield,"$146,792,996.00","$935,000.00","$633,447,446.63","$802,957,782.80","$2,398,881.00","$15,418,575.00","$1,601,950,681.43"
Thompson,"$180,698.41","$107,897.15",,Thomaston,"$39,095,646.00","$1,159,000.00","$197,985,117.00","$200,052,949.00","$1,103,875.00","$7,629,699.00","$447,026,286.00"
Tolland,"$294,937.62","$174,641.12",,Thompson,"$5,580,550.00","$3,508,799.00","$202,677,900.00","$342,415,068.00","$2,097,500.00","$17,799,043.00","$574,078,860.00"
Torrington,"$165,909.62","$106,911.75",,Tolland,"$31,514,920.00","$580,000.00","$533,433,476.00","$722,640,885.00","$501,000.00","$13,479,299.00","$1,302,149,580.00"
Trumbull,"$464,371.47","$297,179.80",,Torrington,"$154,305,281.00","$6,458,775.00","$1,011,464,753.00","$1,000,185,097.00","$45,599,710.00","$129,275,709.00","$2,347,289,325.00"
Union,"$200,885.40","$117,665.61",,Trumbull,"$206,807,344.00",,"$1,846,699,904.00","$2,432,576,417.67","$1,150,000.00","$19,027,123.00","$4,506,260,788.67"
Vernon,"$215,912.38","$124,657.91",,Union,,,"$23,698,059.00","$33,956,050.00",,,"$57,654,109.00"
Voluntown,"$206,386.84","$124,808.12",,Vernon,"$204,694,274.00","$8,182,400.00","$974,131,318.00","$632,251,088.00","$10,274,794.00","$29,903,532.00","$1,859,437,406.00"
Wallingford,"$293,572.23","$197,962.70",,Voluntown,"$126,800.00",,"$60,898,740.00","$105,288,787.00","$370,218.00","$488,795.00","$167,173,340.00"
Warren,"$555,534.52","$258,993.31",,Wallingford,"$457,091,113.44","$10,088,459.00","$1,516,166,728.00","$1,608,730,311.54","$30,600,448.00","$100,112,425.00","$3,722,789,484.98"
Washington,"$861,932.25","$488,918.69",,Warren,,,"$133,032,211.00","$231,638,965.67",,"$315,000.00","$364,986,176.67"
Waterbury,"$169,966.53","$108,187.24",,Washington,"$16,574,914.00","$7,000,000.00","$512,489,591.00","$945,831,457.50","$2,582,900.00","$5,802,000.00","$1,490,280,862.50"
Waterford,"$271,595.91","$170,415.56",,Waterbury,"$305,159,179.00","$46,091,468.00","$2,835,945,812.00","$1,512,601,548.00","$263,310,920.00","$216,111,092.00","$5,179,220,019.00"
Watertown,"$248,038.34","$152,778.39",,Waterford,"$101,393,115.00","$1,275,000.00","$742,455,531.00","$1,060,696,071.00","$1,234,272.00","$9,055,176.00","$1,916,109,165.00"
West Hartford,"$367,488.47","$213,347.59",,Watertown,"$67,005,132.00","$2,366,100.00","$628,335,481.00","$788,785,177.00","$7,123,007.00","$30,332,660.00","$1,523,947,557.00"
West Haven,"$213,036.56","$147,184.40",,West Hartford,"$592,936,785.00","$1,638,000.00","$3,208,511,446.00","$3,623,626,917.84","$51,885,026.00","$139,437,851.00","$7,618,036,025.84"
Westbrook,"$360,434.20","$234,767.59",,West Haven,"$184,933,339.00","$9,259,600.00","$1,269,635,034.50","$1,090,287,179.42","$64,598,391.00","$138,618,632.00","$2,757,332,175.92"
Weston,"$957,069.27","$606,717.98",,Westbrook,"$39,076,140.00","$1,220,000.00","$366,977,776.90","$509,105,809.00","$1,895,000.00","$9,843,349.00","$928,118,074.90"
Westport,"$1,442,513.03","$865,815.08",,Weston,"$7,732,500.00",,"$1,018,667,469.00","$2,266,875,393.00",,,"$3,293,275,362.00"
Wethersfield,"$268,478.04","$169,877.15",,Westport,"$290,302,384.85",,"$4,635,377,727.00","$8,949,495,587.00","$11,425,617.00","$58,172,100.00","$13,944,773,415.85"
Willington,"$4,426,695.48","$159,032.34",,Wethersfield,"$130,842,289.00","$4,793,450.00","$761,150,759.00","$1,203,808,137.13","$2,208,000.00","$24,080,429.00","$2,126,883,064.13"
Wilton,"$909,361.79","$561,503.93",,Willington,"$8,096,550.00","$530,000.00","$5,182,213,846.00","$477,515,640.00","$194,544,073.00","$2,471,400.00","$5,865,371,509.00"
Winchester,"$198,368.46","$124,552.19",,Wilton,"$214,784,333.50",,"$1,898,113,823.00","$3,001,890,608.73",,"$2,190,000.00","$5,116,978,765.23"
Windham,"$165,742.38","$102,393.14",,Winchester,"$34,863,650.00","$9,901,636.00","$311,341,763.00","$383,957,499.00","$9,149,296.00","$24,026,408.00","$773,240,252.00"
Windsor,"$354,666.89","$189,476.97",,Windham,"$16,754,283.00","$5,645,830.00","$422,495,113.00","$395,262,453.00","$22,655,048.00","$36,008,193.00","$898,820,920.00"
Windsor Locks,"$278,289.20","$168,791.17",,Windsor,"$224,937,720.00","$925,000.00","$1,897,000,734.00","$1,001,128,026.00","$4,244,030.00","$25,107,793.00","$3,153,343,303.00"
Wolcott,"$233,733.05","$150,875.91",,Windsor Locks,"$117,140,526.00","$706,500.00","$689,275,702.00","$385,380,790.00","$1,496,000.00","$18,228,250.00","$1,212,227,768.00"
Woodbridge,"$462,539.76","$301,825.05",,Wolcott,"$67,511,863.00","$270,000.00","$393,612,657.00","$667,833,016.00","$405,900.00","$5,374,257.00","$1,135,007,693.00"
Woodbury,"$332,512.24","$201,770.24",,Woodbridge,"$2,909,900.00","$275,000.00","$420,461,581.00","$773,757,227.00",,"$10,287,604.00","$1,207,691,312.00"
Woodstock,"$211,966.51","$132,017.21",,Woodbury,"$93,236,247.00","$450,000.00","$477,431,016.00","$606,717,569.00","$421,668.00","$3,492,000.00","$1,181,748,500.00"
Grand Total,"$398,617.94","$279,622.61",,Woodstock,"$18,795,549.17",,"$233,194,711.00","$407,837,085.85","$385,000.00","$2,183,000.00","$662,395,346.02"
,,,,Grand Total,"$35,648,832,390.00","$901,746,090.00","$176,478,822,026.67","$194,636,253,373.58","$3,306,298,567.68","$7,008,858,004.81","$417,980,810,452.74"
