Town,,,,
Sharon,718582124,,Middlefield,"$155,853.02"
Roxbury,717632848,,Middletown,"$155,603.14"
Hebron,715708804,,Seymour,"$154,123.17"
Derby,707123129,,Watertown,"$152,778.39"
Sherman,706112927,,Mansfield,"$152,348.27"
Haddam,683928540.2,,Portland,"$152,290.60"
Griswold,681002909.2,,New London,"$152,196.49"
Woodstock,662395346,,Wolcott,"$150,875.91"
Stafford,642556926,,West Haven,"$147,184.40"
Killingworth,635604275,,Columbia,"$146,217.89"
Putnam,632082172,,East Haddam,"$146,147.84"
Plymouth,611144372.7,,Franklin,"$144,743.25"
East Granby,609370464,,East Hampton,"$144,154.78"
Durham,597718314,,East Haven,"$144,154.70"
Kent,594204078,,Ledyard,"$143,768.21"
New Hartford,593014737.7,,Colchester,"$142,873.33"
Goshen,575822702,,East Windsor,"$141,670.00"
Thompson,574078860,,Beacon Falls,"$140,744.10"
Brooklyn,544046880,,Barkhamsted,"$140,135.86"
Bethany,525282624,,Bozrah,"$138,764.71"
Beacon Falls,524217903,,Hartford,"$138,677.71"
Marlborough,516680655.5,,Hartland,"$135,547.81"
Lebanon,501177444,,Andover,"$135,509.51"
Lyme,490735859,,Ansonia,"$133,075.21"
North Stonington,450697743,,East Hartford,"$132,562.28"
Thomaston,447026286,,North Canaan,"$132,403.97"
Harwinton,409384130,,Lisbon,"$132,223.10"
Columbia,393905608.1,,Woodstock,"$132,017.21"
Chester,389569560,,Sprague,"$131,729.13"
Bolton,387535996,,Coventry,"$131,456.60"
Deep River,384067810,,New Britain,"$128,293.98"
Warren,364986176.7,,Plainville,"$127,410.09"
Salem,357104654,,Meriden,"$126,372.95"
Bridgewater,356827794.2,,Voluntown,"$124,808.12"
Preston,338585496.7,,Ashford,"$124,774.59"
Sterling,317051439,,Vernon,"$124,657.91"
Middlefield,305415816,,Winchester,"$124,552.19"
Pomfret,304307303,,Derby,"$124,491.26"
Bethlehem,291804770,,Lebanon,"$124,353.80"
Morris,288182856,,Plainfield,"$123,849.41"
Ashford,285367647,,Montville,"$123,648.09"
Canterbury,277250912,,Bristol,"$123,616.81"
Barkhamsted,249375783.2,,Scotland,"$121,393.88"
Lisbon,232537808.5,,Brooklyn,"$120,130.78"
Cornwall,225614359.3,,Canterbury,"$118,131.04"
Norfolk,225010475,,Union,"$117,665.61"
North Canaan,198474793,,Thomaston,"$116,571.87"
Andover,195661333,,Norwich,"$116,169.92"
Voluntown,167173340,,Hampton,"$115,543.03"
Sprague,148394225,,Putnam,"$115,030.58"
Franklin,138054568,,Naugatuck,"$114,716.18"
Canaan,133231013.3,,Plymouth,"$113,276.93"
Bozrah,131317089,,Killingly,"$113,042.12"
Colebrook,127991662,,Griswold,"$112,860.68"
Eastford,126908179,,Chaplin,"$109,177.08"
Hampton,122255378,,Waterbury,"$108,187.24"
Chaplin,110410968,,Thompson,"$107,897.15"
Hartland,99072464,,Eastford,"$106,936.93"
Scotland,86324854,,Torrington,"$106,911.75"
Union,57654109,,Sterling,"$104,184.81"
***Unknown***,282450,,Windham,"$102,393.14"
,,,***Unknown***,"$66,540.00"
,,,Grand Total,"$279,622.61"
